gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000008735.13,MAPK8IP2,NA,NA,NA,NA,0.12588157716353,1.3550486406102942e-06,1.7483761985574192e-06,0,NA,53
ENSG00000025770.18,NCAPH2,NA,NA,NA,NA,0.102118951308632,1.5382087630437082e-05,1.835701015046836e-05,0,NA,20
ENSG00000040608.13,RTN4R,NA,NA,NA,NA,0.125287236298417,1.4407393458909742e-06,1.8547727490607079e-06,0,NA,67
ENSG00000054611.13,TBC1D22A,NA,NA,NA,NA,0.170550467536519,1.2262167636646199e-08,1.8224651608784417e-08,0,11.0,21
ENSG00000056487.15,PHF21B,NA,NA,NA,NA,0.116353019008715,3.6086007075639967e-06,4.520837646727298e-06,0,NA,132
ENSG00000070010.18,UFD1L,NA,NA,NA,NA,0.110921270543479,6.286372987866027e-06,7.751871562543693e-06,0,NA,42
ENSG00000070371.15,CLTCL1,NA,NA,NA,NA,0.0925425158181403,4.047894594657078e-05,4.6794231927163096e-05,0,NA,21
ENSG00000073169.13,SELENOO,NA,NA,NA,NA,0.127366043671468,1.1624717060694943e-06,1.509012437887329e-06,0,NA,30
ENSG00000099899.14,TRMT2A,NA,NA,NA,NA,0.125401307492764,1.4238861861375824e-06,1.834361508445332e-06,0,NA,40
ENSG00000099901.16,RANBP1,NA,NA,NA,NA,0.0699796951671955,0.00038833549810890234,0.0004181444458718616,0,NA,11
ENSG00000099904.15,ZDHHC8,NA,NA,NA,NA,0.156558050524972,5.4713265326880056e-08,7.78422858196615e-08,0,NA,52
ENSG00000099942.12,CRKL,NA,NA,NA,NA,0.174360889649213,8.129706070595128e-09,1.2217163784204783e-08,0,NA,53
ENSG00000099949.18,LZTR1,NA,NA,NA,NA,0.0164829652163697,0.08948302668098433,0.09021947208876155,0,NA,90
ENSG00000099954.18,CECR2,NA,NA,NA,NA,0.357353994154528,1.96656794563195e-18,5.8971365158180015e-18,0,NA,82
ENSG00000099956.18,SMARCB1,NA,NA,NA,NA,0.170573459063307,1.2231856165035751e-08,1.8182542378959468e-08,0,NA,20
ENSG00000099957.16,P2RX6,NA,NA,NA,NA,0.238602190839147,6.09348715724935e-12,1.1407286063734114e-11,0,NA,34
ENSG00000099968.17,BCL2L13,NA,NA,NA,NA,0.235973275822388,8.26795911587468e-12,1.5352871535298418e-11,0,NA,41
ENSG00000099984.11,GSTT2,NA,NA,NA,NA,0.0560430074891654,0.0015596871335471177,0.001624025995357085,0,NA,11
ENSG00000099991.17,CABIN1,NA,NA,NA,NA,0.0695645828915624,0.0004047640656737051,0.0004352729676275752,0,NA,54
